,tri_Grams,Freq
308,ایک ہیں موت,4
309,ہیں موت سے,4
310,موت سے پہلے,4
304,غم اصل میں,4
677,سمجھ رہے ہو,4
3090,آزاد مرد تھا,4
1950,ہے تو ہی,4
1962,پردہ ہے ساز,4
3351,جل گیا میں,4
1960,حجاب ہے پردہ,4
1959,جو حجاب ہے,4
1958,ورنہ جو حجاب,4
1957,یاں ورنہ جو,4
1956,کا یاں ورنہ,4
1955,راز کا یاں,4
3062,تھا احباب چارہ,4
3088,کرے عجب آزاد,4
3087,مغفرت کرے عجب,4
3086,حق مغفرت کرے,4
848,گر نہیں آتی,4
1948,محرم نہیں ہے,4
3061,درد تھا احباب,4
3516,مزا پایا درد,4
3085,ہے حق مغفرت,4
3330,جل گیا دل,4
3084,کی ہے حق,4
16302,خس و خاشاک,4
3070,زنداں میں بھی,4
3071,میں بھی خیال,4
3083,جاں کی ہے,4
3072,بھی خیال بیاباں,4
3073,خیال بیاباں نورد,4
3074,بیاباں نورد تھا,4
3075,نورد تھا یہ,4
12019,تھا کچھ تو,4
1963,ہے ساز کا,4
1961,ہے پردہ ہے,4
3060,کا درد تھا,4
3055,اگر گیا تو,4
3042,گل آگے گرد,4
3043,آگے گرد تھا,4
12018,نہ تھا کچھ,4
3044,گرد تھا جاتی,4
8420,ہے تو سہی,4
3045,تھا جاتی ہے,4
3046,جاتی ہے کوئی,4
3047,ہے کوئی کشمکش,4
3089,عجب آزاد مرد,4
3051,عشق کی دل,4
3052,کی دل بھی,4
3053,دل بھی اگر,4
3059,دل کا درد,4
2786,نہ ہوا میں,4
3054,بھی اگر گیا,4
3518,کی دوا پائی,4
3056,گیا تو وہی,4
3058,وہی دل کا,4
3057,تو وہی دل,4
3517,پایا درد کی,4
3082,خستہ جاں کی,4
811,پر نہیں آتی,4
3182,قطرہ نہ نکلا,3
3183,نہ نکلا تھا,3
1564,آرزو توڑا جو,3
1565,توڑا جو تو,3
3180,آہ جو قطرہ,3
3186,سو طوفاں نکلا,3
3184,نکلا تھا سو,3
3185,تھا سو طوفاں,3
399,ہر ایک بات,3
3181,جو قطرہ نہ,3
1566,جو تو نے,3
3107,نکلا زخم نے,3
13345,میں لے کے,3
3133,تری بزم سے,3
1570,تمثال دار تھا,3
1571,دار تھا گلیوں,3
1601,تیغ آب دار,3
1596,حال ہر ذرہ,3
1595,پوچھ حال ہر,3
1593,کا نہ پوچھ,3
1592,وفا کا نہ,3
5275,ہے غیر از,3
1580,کہ میں جاں,3
1579,پھرو کہ میں,3
1578,کھینچے پھرو کہ,3
4470,دل و جاں,3
3105,بھی عریاں نکلا,3
3176,اک شور اٹھایا,3
1576,نعش کو کھینچے,3
12604,کچھ بھی نہیں,3
1575,میری نعش کو,3
1574,میں میری نعش,3
1573,گلیوں میں میری,3
12081,یوں ہوتا تو,3
3106,عریاں نکلا زخم,3
1577,کو کھینچے پھرو,3
3148,یاروں کا بہ,3
3175,نے اک شور,3
3124,نکلا بوئے گل,3
1546,کا مجھے دینا,3
1547,مجھے دینا پڑا,3
3146,درد کام یاروں,3
1556,تھا اب میں,3
1555,یار تھا اب,3
3141,حسرت زدہ تھا,3
1548,دینا پڑا حساب,3
3137,سو پریشاں نکلا,3
3171,دل میں پھر,3
3136,نکلا سو پریشاں,3
5872,جلتا ہوں میں,3
1603,دار تھا کم,3
3135,سے نکلا سو,3
3131,محفل جو تری,3
3134,بزم سے نکلا,3
3132,جو تری بزم,3
15881,کی انجمن میں,3
435,کیا ہے یہ,3
3147,کام یاروں کا,3
3110,داد نہ دی,3
3170,نکلا دل میں,3
3169,آساں نکلا دل,3
3168,بھی آساں نکلا,3
3167,کام بھی آساں,3
3166,یہ کام بھی,3
3165,کہ یہ کام,3
3164,ہے کہ یہ,3
3162,سخت مشکل ہے,3
3161,پسند سخت مشکل,3
3160,دشوار پسند سخت,3
3153,و دنداں نکلا,3
3152,لب و دنداں,3
3108,زخم نے داد,3
1557,اب میں ہوں,3
3109,نے داد نہ,3
1602,آب دار تھا,3
11518,اب اس رہگزر,3
4460,کر رہا ہے,3
2005,ہوں ایک ہی,3
2022,بساط ہے سر,3
2018,اچھل رہے ہر,3
2017,شیشے اچھل رہے,3
2016,سے شیشے اچھل,3
2015,بادہ سے شیشے,3
2011,کا ہیں بسکہ,3
2010,گداز کا ہیں,3
2009,جاں گداز کا,3
2001,میرا وگرنہ میں,3
1982,سوئے غیر نظر,3
1999,آہ میں میرا,3
1995,کا صرفہ ہے,3
1994,دراز کا صرفہ,3
1993,ہائے دراز کا,3
1987,تیز میں اور,3
1986,تیز تیز میں,3
1985,ہائے تیز تیز,3
1984,نظر ہائے تیز,3
2023,ہے سر شیشہ,3
2024,سر شیشہ باز,3
2025,شیشہ باز کا,3
2026,باز کا کاوش,3
2054,دفینہ گہر ہائے,3
2053,تھا دفینہ گہر,3
2052,کہ تھا دفینہ,3
2051,سینہ کہ تھا,3
2042,نیم باز کا,3
2038,پہ قرض اس,3
2037,ناخن پہ قرض,3
2036,ہنوز ناخن پہ,3
2035,ہے ہنوز ناخن,3
2034,کہ ہے ہنوز,3
2033,تقاضا کہ ہے,3
2032,ہے تقاضا کہ,3
2031,کرے ہے تقاضا,3
2030,دل کرے ہے,3
2029,کا دل کرے,3
2028,کاوش کا دل,3
2027,کا کاوش کا,3
1983,غیر نظر ہائے,3
1981,اور سوئے غیر,3
3530,دل معلوم آہ,3
17434,میں نہ ہو,3
3504,کہ گم کیجے,3
3503,کہاں کہ گم,3
3502,دل کہاں کہ,3
3501,پایا دل کہاں,3
3500,پڑا پایا دل,3
3499,اگر پڑا پایا,3
3498,دل اگر پڑا,3
3497,ہم دل اگر,3
3492,کہتے ہو نہ,3
1980,تو اور سوئے,3
16646,وہ خاک کہ,3
18219,دل و نظر,3
789,موت کا ایک,3
795,نیند کیوں رات,3
796,کیوں رات بھر,3
797,رات بھر نہیں,3
798,بھر نہیں آتی,3
3416,دنیا جل گیا,3
3505,گم کیجے ہم,3
3509,پایا عشق سے,3
3510,عشق سے طبیعت,3
3511,سے طبیعت نے,3
1979,کا تو اور,3
1978,ناز کا تو,3
1977,ہائے ناز کا,3
1976,گل ہائے ناز,3
1972,یہ وقت ہے,3
1971,ہے یہ وقت,3
1970,نظارہ ہے یہ,3
1965,کا رنگ شکستہ,3
1964,ساز کا رنگ,3
1953,نوا ہائے راز,3
1952,ہی نوا ہائے,3
1951,تو ہی نوا,3
3515,کا مزا پایا,3
868,ہم کو بھی,3
3514,زیست کا مزا,3
3513,نے زیست کا,3
3512,طبیعت نے زیست,3
2055,گہر ہائے راز,3
3531,معلوم آہ بے,3
1604,تھا کم جانتے,3
11532,تھا یہ لاشِ,3
11519,اس رہگزر میں,3
972,پیچ و خم,3
11523,کوئی کشمکش اندوہِ,3
11524,کشمکش اندوہِ عشق,3
11525,اندوہِ عشق کی,3
11529,وحشت نہ کرسکے,3
11530,نہ کرسکے زنداں,3
11531,کرسکے زنداں میں,3
11533,یہ لاشِ بے,3
3595,سے کوئی پوچھے,3
11534,لاشِ بے کفن,3
11535,بے کفن اسدِ,3
11536,کفن اسدِ خستہ,3
11537,اسدِ خستہ جاں,3
3600,کیا مزا پایا,3
3599,نے کیا مزا,3
3598,تم نے کیا,3
3597,پوچھے تم نے,3
3103,پردے میں بھی,3
11514,مِرا رنگ زرد,3
11513,بھی مِرا رنگ,3
11512,پیشتر بھی مِرا,3
1605,کم جانتے تھے,3
1606,جانتے تھے ہم,3
1607,تھے ہم بھی,3
1611,عشق کو پر,3
1612,کو پر اب,3
1613,پر اب دیکھا,3
1614,اب دیکھا تو,3
1615,دیکھا تو کم,3
11503,جو نہ بابِ,3
11504,نہ بابِ نبرد,3
11505,بابِ نبرد تھا,3
11506,نبرد تھا عشقِ,3
11507,تھا عشقِ نبرد,3
11508,عشقِ نبرد پیشہ,3
11509,نبرد پیشہ طلبگارِ,3
11510,پیشہ طلبگارِ مرد,3
11511,طلبگارِ مرد تھا,3
3596,کوئی پوچھے تم,3
3594,آپ سے کوئی,3
3532,آہ بے اثر,3
3548,تغافل میں جرأت,3
3559,نے اپنا دل,3
3558,ہم نے اپنا,3
3557,آج ہم نے,3
3553,غنچہ پھر لگا,3
3552,پایا غنچہ پھر,3
3551,آزما پایا غنچہ,3
3550,جرأت آزما پایا,3
3549,میں جرأت آزما,3
3547,کو تغافل میں,3
3593,چھڑکا آپ سے,3
3546,حسن کو تغافل,3
3545,ہشیاری حسن کو,3
3544,و ہشیاری حسن,3
3539,سادگی و پرکاری,3
3538,پایا سادگی و,3
888,کس منہ سے,3
3534,اثر دیکھی نالہ,3
3533,بے اثر دیکھی,3
3560,اپنا دل خوں,3
3561,دل خوں کیا,3
3562,خوں کیا ہوا,3
3563,کیا ہوا دیکھا,3
3592,نمک چھڑکا آپ,3
3591,پر نمک چھڑکا,3
3590,زخم پر نمک,3
3589,نے زخم پر,3
3588,ناصح نے زخم,3
15998,ہے تیری تو,3
3577,یعنی ہم نے,3
3576,قدر یعنی ہم,3
3575,اس قدر یعنی,3
3574,لیکن اس قدر,3
3573,معلوم لیکن اس,3
3572,نہیں معلوم لیکن,3
3571,دل نہیں معلوم,3
3567,کیا ہوا پایا,3
3566,گم کیا ہوا,3
3565,دیکھا گم کیا,3
3564,ہوا دیکھا گم,3
3104,میں بھی عریاں,3
2000,میں میرا وگرنہ,3
3102,تصویر کے پردے,3
2844,کی شکایت کیجے,3
2801,مرنے پہ بھی,3
2802,پہ بھی راضی,3
2803,بھی راضی نہ,3
2804,راضی نہ ہوا,3
2805,نہ ہوا دل,3
2806,ہوا دل گزر,3
18044,و نظر کا,3
2811,مے و ساغر,3
2812,و ساغر ہی,3
2813,ساغر ہی سہی,3
2814,ہی سہی گر,3
2815,سہی گر نفس,3
10088,دیدہ و دل,3
2822,نہ ہوا ہوں,3
2823,ہوا ہوں ترے,3
2824,ہوں ترے وعدہ,3
2825,ترے وعدہ نہ,3
2826,وعدہ نہ کرنے,3
2827,نہ کرنے میں,3
2828,کرنے میں بھی,3
2829,میں بھی راضی,3
2830,بھی راضی کہ,3
2831,راضی کہ کبھی,3
2832,کہ کبھی گوش,3
2833,کبھی گوش منت,3
2838,نہ ہوا کس,3
2839,ہوا کس سے,3
2800,مرے مرنے پہ,3
15676,رنگ و بو,3
2795,سے چھوٹوں وہ,3
2763,ہے یہ وہ,3
3101,قیس تصویر کے,3
10959,ہے اس کی,3
1360,یا رب یہ,3
12033,نے نہ ہوتا,3
12032,ہونے نے نہ,3
12030,مجھ کو ہونے,3
1345,ہر رنگ میں,3
12025,ہوتا تو خدا,3
12024,کچھ نہ ہوتا,3
12023,تھا کچھ نہ,3
2761,نہ ہوا ہے,3
2762,ہوا ہے یہ,3
2764,یہ وہ لفظ,3
2794,وفا سے چھوٹوں,3
2765,وہ لفظ کہ,3
12022,خدا تھا کچھ,3
4859,دیوار و در,3
2769,معنی نہ ہوا,3
4218,میں ہے کہ,3
2773,خط سے ترا,3
12017,ہوتا نہ تھا,3
2777,سرکش نہ دبا,3
2778,نہ دبا یہ,3
2785,افعی نہ ہوا,3
2787,ہوا میں نے,3
2788,میں نے چاہا,3
2843,قسمت کی شکایت,3
10094,مجھ کو یہ,3
303,بند غم اصل,3
2984,مر گیا جو,3
300,قید حیات و,3
301,حیات و بند,3
302,و بند غم,3
12833,نہ ہو تو,3
12065,ہوئی مدت کہ,3
12066,مدت کہ غالب,3
17009,میں فقط مستی,3
12070,پر یاد آتا,3
12071,یاد آتا ہے,3
354,بزم میں وہ,3
2847,ہم نے چاہا,3
2848,تھا کہ مر,3
9300,جانتا ہے کہ,3
2849,کہ مر جائیں,3
12072,آتا ہے وہ,3
9309,گل و لالہ,3
12073,ہے وہ ہر,3
2850,مر جائیں سو,3
2851,جائیں سو وہ,3
3092,تھا شوق ہر,3
2852,سو وہ بھی,3
2853,وہ بھی نہ,3
2854,بھی نہ ہوا,3
3091,مرد تھا شوق,3
12080,کہ یوں ہوتا,3
2985,گیا جو نہ,3
12079,کہنا کہ یوں,3
2983,میں مر گیا,3
2982,دھمکی میں مر,3
3100,نکلا قیس تصویر,3
2845,شکایت کیجے ہم,3
3093,شوق ہر رنگ,3
3521,درد بے دوا,2
12042,غم سے یوں,2
12043,سے یوں بے,2
12044,یوں بے حِس,2
12045,بے حِس تو,2
12046,حِس تو غم,2
10170,مانا کہ دلّی,2
12047,تو غم کیا,2
12048,غم کیا سر,2
12049,کیا سر کے,2
10171,کہ دلّی میں,2
10172,دلّی میں رہیں,2
12041,جب غم سے,2
3554,پھر لگا کھلنے,2
12050,سر کے کٹنے,2
12040,ہوا جب غم,2
16463,و مستی کی,2
16462,عشق و مستی,2
3555,لگا کھلنے آج,2
3556,کھلنے آج ہم,2
10169,یہ مانا کہ,2
12039,ہوتا ہوا جب,2
10168,نے یہ مانا,2
12038,کیا ہوتا ہوا,2
12036,میں تو کیا,2
12035,ہوتا میں تو,2
12034,نہ ہوتا میں,2
10167,ہم نے یہ,2
10166,اسد ہم نے,2
1689,میں وہ شوخ,2
3523,دوا پایا دوست,2
19862,نہ آئیں ھو,2
10173,میں رہیں کھائیں,2
3542,بے خودی و,2
19581,سکندری کیا ہے,2
3541,پرکاری بے خودی,2
3540,و پرکاری بے,2
12058,تن سے تو,2
12057,جدا تن سے,2
3537,نارسا پایا سادگی,2
12056,گر جدا تن,2
3536,نالہ نارسا پایا,2
3535,دیکھی نالہ نارسا,2
3543,خودی و ہشیاری,2
12055,ہوتا گر جدا,2
12059,سے تو زانو,2
12054,نہ ہوتا گر,2
12053,کا نہ ہوتا,2
12031,کو ہونے نے,2
12060,تو زانو پر,2
12061,زانو پر دھرا,2
12052,کٹنے کا نہ,2
16472,دل کی موت,2
12062,پر دھرا ہوتا,2
10175,کھائیں گے کیا,2
12051,کے کٹنے کا,2
13581,چھپا کے دیکھ,2
13580,الفت چھپا کے,2
10174,رہیں کھائیں گے,2
13579,راز الفت چھپا,2
9822,اعتمادِ دل معلوم,2
1338,کس سے ہو,2
3409,کہ دل دیکھ,2
17558,ہے بے غرض,2
17560,غرض اس کی,2
17561,اس کی جزا,2
4344,یار کو مہماں,2
4343,ہے یار کو,2
4342,ہوئی ہے یار,2
4341,مدّت ہوئی ہے,2
17472,مجھ کو بھی,2
7889,سے آتی ہے,2
19479,میں کیسے بتاؤں,2
9814,دوا پائی دردِ,2
13680,تو یوں کہ,2
17562,کی جزا کچھ,2
17563,جزا کچھ اور,2
3496,گے ہم دل,2
3495,دیں گے ہم,2
3494,نہ دیں گے,2
3493,ہو نہ دیں,2
9815,پائی دردِ بے,2
9816,دردِ بے دوا,2
9820,دشمن ہے اعتمادِ,2
13562,جس ادا سے,2
9840,پندِ ناصح نے,2
9839,شورِ پندِ ناصح,2
9838,پایا شورِ پندِ,2
9831,نے بار ہا,2
9829,حالِ دل نہیں,2
9828,پایا حالِ دل,2
9821,ہے اعتمادِ دل,2
9827,ہوا پایا حالِ,2
17559,بے غرض اس,2
4348,ہوئے جوشِ قدح,2
17564,کچھ اور ہے,2
4349,جوشِ قدح سے,2
3410,دل دیکھ کر,2
5440,دست و بازوئے,2
3414,تپاک اہل دنیا,2
3415,اہل دنیا جل,2
7878,ہیں خواب میں,2
3520,پائی درد بے,2
12280,جگر یاد آیا,2
4353,چراغاں کئے ہوئے,2
4351,سے بزمِ چراغاں,2
3519,دوا پائی درد,2
8570,ہو مجھ کو,2
17543,سے گزر مصر,2
15292,روس کے ملک,2
17544,گزر مصر و,2
17545,مصر و حجاز,2
17546,و حجاز سے,2
17551,و شام سے,2
17552,شام سے گزر,2
3686,تھا خواب میں,2
3687,خواب میں خیال,2
17553,سے گزر جس,2
6754,خوں تن میں,2
6753,قطرہ خوں تن,2
17554,گزر جس کا,2
10164,غمِ الفت اسد,2
17555,جس کا عمل,2
17556,کا عمل ہے,2
17557,عمل ہے بے,2
4350,قدح سے بزمِ,2
10165,الفت اسد ہم,2
10151,ہیں گرفتارِ وفا,2
10163,قحطِ غمِ الفت,2
10079,دل اور آپ,2
10089,و دل فرشِ,2
10087,آئیں دیدہ و,2
10086,گر آئیں دیدہ,2
10085,ناصح گر آئیں,2
10084,حضرتِ ناصح گر,2
10083,کیا حضرتِ ناصح,2
10082,گے کیا حضرتِ,2
10081,آپ فرمائیں گے,2
10080,اور آپ فرمائیں,2
13620,نظر میں کچھ,2
10091,فرشِ راہ کوئی,2
13621,میں کچھ ہم,2
13622,کچھ ہم نے,2
10078,حالِ دل اور,2
10077,گے حالِ دل,2
10076,کہیں گے حالِ,2
13623,ہم نے سب,2
13624,نے سب کی,2
10075,ہم کہیں گے,2
10074,تلک ہم کہیں,2
10090,دل فرشِ راہ,2
13619,کی نظر میں,2
10072,پرور کب تلک,2
10093,کوئی مجھ کو,2
10099,دو کہ سمجھائیں,2
10098,سمجھا دو کہ,2
13607,بھی مرے نہ,2
6824,ہوں تو ہوں,2
13608,مرے نہ ہوئے,2
13609,نہ ہوئے ان,2
10097,تو سمجھا دو,2
10096,یہ تو سمجھا,2
10095,کو یہ تو,2
10092,راہ کوئی مجھ,2
13618,ان کی نظر,2
13610,ہوئے ان کو,2
13611,ان کو اپنا,2
13612,کو اپنا بنا,2
13613,اپنا بنا کے,2
13614,بنا کے دیکھ,2
13615,دیکھ لیا آج,2
1585,سر رہ گزار,2
13616,لیا آج ان,2
13617,آج ان کی,2
10073,کب تلک ہم,2
10071,بندہ پرور کب,2
10101,سمجھائیں گے کیا,2
13633,غم بھی ہو,2
12063,دھرا ہوتا ہوئی,2
12064,ہوتا ہوئی مدت,2
13628,بچا کے دیکھ,2
13629,دیکھ لیا فیضؔ,2
13630,لیا فیضؔ تکمیل,2
8450,کچھ نہ کچھ,2
13631,فیضؔ تکمیل غم,2
13632,تکمیل غم بھی,2
5692,یا رب ہمیں,2
13634,بھی ہو نہ,2
10048,دوست غمخواری میں,2
13635,ہو نہ سکی,2
13636,نہ سکی عشق,2
5691,ہے یا رب,2
13637,سکی عشق کو,2
13638,عشق کو آزما,2
13639,کو آزما کے,2
3405,افسردگی کی آرزو,2
12077,بات پر کہنا,2
12078,پر کہنا کہ,2
1516,ہے وطن سے,2
10049,غمخواری میں میری,2
10070,گزری بندہ پرور,2
10062,بڑھ جائیں گے,2
13625,سب کی نظریں,2
10069,سے گزری بندہ,2
10068,حد سے گزری,2
10067,نیازی حد سے,2
13626,کی نظریں بچا,2
13627,نظریں بچا کے,2
10066,بے نیازی حد,2
10065,کیا بے نیازی,2
10064,گے کیا بے,2
10061,نہ بڑھ جائیں,2
10050,میں میری سعی,2
10060,ناخن نہ بڑھ,2
10059,تلک ناخن نہ,2
10058,بھرنے تلک ناخن,2
10057,کے بھرنے تلک,2
10056,زخم کے بھرنے,2
10055,کیا زخم کے,2
10054,گے کیا زخم,2
10052,سعی فرمائیں گے,2
10051,میری سعی فرمائیں,2
10100,کہ سمجھائیں گے,2
10102,گے کیا آج,2
10162,میں قحطِ غمِ,2
10141,کیا خانہ زادِ,2
10148,بھاگیں گے کیوں,2
10147,سے بھاگیں گے,2
16424,پیدا کر اے,2
10146,زنجیر سے بھاگیں,2
1415,یہ کیا کم,2
10145,ہیں زنجیر سے,2
10144,زلف ہیں زنجیر,2
10143,زادِ زلف ہیں,2
10142,خانہ زادِ زلف,2
10140,گے کیا خانہ,2
10150,کیوں ہیں گرفتارِ,2
10139,چھٹ جائیں گے,2
10138,انداز چھٹ جائیں,2
13589,دیکھ لیا اور,2
13590,لیا اور کیا,2
13591,اور کیا دیکھنے,2
13592,کیا دیکھنے کو,2
6841,نے مجھ کو,2
13593,دیکھنے کو باقی,2
1628,شکار تھا آئینہ,2
10149,گے کیوں ہیں,2
13588,جلا کے دیکھ,2
10136,عشق کے انداز,2
10154,زنداں سے گھبرائیں,2
10161,معمورے میں قحطِ,2
10160,اس معمورے میں,2
10159,اب اس معمورے,2
10158,کیا ہے اب,2
13583,دیکھ لیا دل,2
13584,لیا دل بہت,2
10157,گے کیا ہے,2
10156,گھبرائیں گے کیا,2
10155,سے گھبرائیں گے,2
10153,وفا زنداں سے,2
13587,کچھ جلا کے,2
10152,گرفتارِ وفا زنداں,2
3578,ہم نے بارہا,2
3579,نے بارہا ڈھونڈا,2
3580,بارہا ڈھونڈا تم,2
3581,ڈھونڈا تم نے,2
3582,تم نے بارہا,2
3583,نے بارہا پایا,2
13585,دل بہت کچھ,2
13586,بہت کچھ جلا,2
10137,کے انداز چھٹ,2
10135,جنونِ عشق کے,2
10103,کیا آج واں,2
13603,وہ مرے ہو,2
10116,قتل کرنے میں,2
10115,میرے قتل کرنے,2
1448,پر ہے وہ,2
10114,عذر میرے قتل,2
10113,میں عذر میرے,2
10112,ہوں میں عذر,2
10111,جاتا ہوں میں,2
13601,دیکھ لیا وہ,2
13602,لیا وہ مرے,2
10110,ہوئے جاتا ہوں,2
10118,میں وہ اب,2
10109,باندھے ہوئے جاتا,2
10108,کفن باندھے ہوئے,2
10107,و کفن باندھے,2
10106,تیغ و کفن,2
13604,مرے ہو کے,2
13605,ہو کے بھی,2
13606,کے بھی مرے,2
10105,واں تیغ و,2
10104,آج واں تیغ,2
10117,کرنے میں وہ,2
10119,وہ اب لائیں,2
10134,یہ جنونِ عشق,2
10127,نے ہم کو,2
10133,سہی یہ جنونِ,2
10132,یوں سہی یہ,2
10131,اچھا یوں سہی,2
10130,قید اچھا یوں,2
10129,کو قید اچھا,2
13594,کو باقی ہے,2
13595,باقی ہے آپ,2
13596,ہے آپ سے,2
10128,ہم کو قید,2
10125,کیا ناصح نے,2
10120,اب لائیں گے,2
13597,آپ سے دل,2
13598,سے دل لگا,2
10124,گر کیا ناصح,2
10123,کیا گر کیا,2
10122,گے کیا گر,2
1622,تھا کس کا,2
13599,دل لگا کے,2
13600,لگا کے دیکھ,2
10121,لائیں گے کیا,2
13640,آزما کے دیکھ,2
2071,اور افسوس حاصل,2
3404,اور افسردگی کی,2
4882,کبھی ہم ان,2
4869,نامہ بر کو,2
4870,بر کو دیکھتے,2
4871,دیکھتے ہیں وہ,2
9099,جو کہا تو,2
4875,گھر میں ہمارے,2
18770,قیصر و کسریٰ,2
4876,میں ہمارے خدا,2
4877,ہمارے خدا کی,2
4878,خدا کی قدرت,2
4879,کی قدرت ہے,2
4880,قدرت ہے کبھی,2
4881,ہے کبھی ہم,2
4883,ہم ان کو,2
4867,کو کبھی نامہ,2
4884,ان کو کبھی,2
4885,کو کبھی اپنے,2
4886,کبھی اپنے گھر,2
4887,اپنے گھر کو,2
4888,گھر کو دیکھتے,2
4889,دیکھتے ہیں نظر,2
4890,ہیں نظر لگے,2
4891,نظر لگے نہ,2
4892,لگے نہ کہیں,2
4896,کے دست و,2
4897,دست و بازو,2
4898,و بازو کو,2
4868,کبھی نامہ بر,2
4866,صبا کو کبھی,2
4900,کو یہ لوگ,2
4848,کاوشِ ناخن سے,2
4836,باب تھا ناگہاں,2
4837,تھا ناگہاں اس,2
4838,ناگہاں اس رنگ,2
4839,اس رنگ سے,2
4840,رنگ سے خوننابہ,2
4841,سے خوننابہ ٹپکانے,2
4842,خوننابہ ٹپکانے لگا,2
4843,ٹپکانے لگا دل,2
4844,لگا دل کہ,2
4845,دل کہ ذوقِ,2
4846,کہ ذوقِ کاوشِ,2
4847,ذوقِ کاوشِ ناخن,2
4849,ناخن سے لذت,2
4865,کبھی صبا کو,2
4850,سے لذت یاب,2
4851,لذت یاب تھا,2
4854,یہ ہم جو,2
4855,ہم جو ہجر,2
4856,جو ہجر میں,2
4857,ہجر میں دیوار,2
4858,میں دیوار و,2
4860,و در کو,2
4861,در کو دیکھتے,2
4863,دیکھتے ہیں کبھی,2
18756,میں رہے باقی,2
4864,ہیں کبھی صبا,2
4899,بازو کو یہ,2
4901,یہ لوگ کیوں,2
4834,سوختن کا باب,2
9323,گل کے تلے,2
17040,نہیں مجھ کو,2
2495,میں اس کے,2
12850,میں کبھی نہ,2
9259,نہیں کم نہیں,2
4588,جوشِ اشک سے,2
3038,رہ گزر میں,2
4581,ہوئے غالب ہمیں,2
3063,احباب چارہ سازی,2
3064,چارہ سازی وحشت,2
3065,سازی وحشت نہ,2
18979,حق نے کیا,2
3067,نہ کر سکے,2
4573,کے رات دن,2
14394,اتنا زیادہ تو,2
5094,سے ہوتا ہے,2
14720,گزرے تھا اب,2
5124,کس کو دوں,2
12734,کیا ہوتا نہ,2
12732,وہ ہر ایک,2
12731,گیا پر یاد,2
12730,مر گیا پر,2
12729,غالب مر گیا,2
12728,کہ غالب مر,2
3115,کی یا رب,2
4558,پڑے رہیں سر,2
4557,کے پڑے رہیں,2
17043,ہو جس کے,2
14395,زیادہ تو نہیں,2
4906,جگر کو دیکھتے,2
2918,پسند آیا بہ,2
2912,بہ یک کف,2
4913,کو کیا دیکھیں,2
4914,کیا دیکھیں ہم,2
4915,دیکھیں ہم اوجِ,2
4916,ہم اوجِ طالعِ,2
4917,اوجِ طالعِ لعل,2
4918,طالعِ لعل و,2
4919,لعل و گہر,2
4920,و گہر کو,2
4921,گہر کو دیکھتے,2
2916,صد دل پسند,2
2917,دل پسند آیا,2
2919,آیا بہ فیض,2
