,backword_bigrams,Freq
2304,ہے کے,3
261,منہ میں,3
258,سوز نظارہ,3
1983,قدر بہ,3
2181,میں بھی,3
5281,جا میں,3
9843,بابِ نہ,3
9844,نبرد بابِ,3
9845,عشقِ تھا,3
9846,نبرد عشقِ,3
9847,طلبگارِ پیشہ,3
9848,مرد طلبگارِ,3
9849,مِرا بھی,3
8520,لب جنبشِ,3
9696,روزگار غمِ,3
9850,رنگ مِرا,3
106,کر کیوں,3
5279,تو ہوں,3
9853,رہگزر اس,3
9855,اندوہِ کشمکش,3
9856,عشق اندوہِ,3
9859,کرسکے نہ,3
9860,زنداں کرسکے,3
9861,لاشِ یہ,3
9862,بے لاشِ,3
9863,اسدِ کفن,3
9864,خستہ اسدِ,3
14607,و مصر,3
13754,مستی و,3
9834,نہیں سے,3
13047,مگر ہوں,3
13028,حجابی بے,3
5373,ہوں سمجھتا,3
7,شب ہے,3
4222,گزری سے,3
6426,جستجو کی,3
4211,میں بیاباں,3
2093,ہے گل,3
2044,لیکن سے,3
2043,سے چمن,3
2039,میرا قدم,3
6074,عشق جنونِ,3
76,کیوں نہ,3
6068,میں گلشن,3
52,پوچھ مت,3
6062,ہوں تو,3
2147,سے بلا,3
6478,آج ہیں,3
62,کہ دیکھ,3
2016,غالب نہیں,3
10834,ہیں دیتے,3
10835,دینگے نہیں,3
13658,مسلمانی جذب,3
2199,مجھے سے,3
14625,و بادہ,3
1900,ہوا ہجراں,3
14626,جام و,3
5990,میں روزن,3
2262,ہے بنا,3
1935,میں تو,3
207,ہی دل,3
14663,سرور بے,3
8709,ہوں جاتا,3
2273,کس یہ,3
224,بار ہزار,3
5223,کوئی کرے,3
8717,گر کیا,3
238,ہیں بیٹھے,3
240,گزر رہ,3
5217,تلک کب,3
242,ہم پہ,3
5214,اے کر,3
1907,ہائے گہر,3
7301,سے مدت,3
1906,گہر دفینہ,3
1905,دفینہ تھا,3
1904,تھا کہ,3
1903,کہ سینہ,3
13132,میں شب,3
12636,کوئی کر,3
4085,میں جی,3
2254,ہے دیا,3
4087,کسی پہ,3
8683,اور دل,3
10871,پیار سے,3
9875,چھوڑ مجھے,3
1979,عالم یک,3
139,برا کو,3
8673,بے کیا,3
8674,نیازی بے,3
9881,سکتا نہیں,3
146,ہیں ہوتے,3
5264,ہوں جلتا,3
13780,نہیں سکتا,3
4111,ہمیں غالب,3
195,ہم و,3
13103,بو و,3
8691,و دیدہ,3
170,ابھی ہے,3
10888,کا زندگی,3
8697,سمجھا تو,3
8704,و تیغ,3
6522,دے کو,3
189,و ساغر,3
190,مینا و,3
13117,و آہ,3
4409,و لعل,3
391,کہ کہو,3
6385,کے تن,3
3677,بندہ کا,3
2550,کہ لفظ,3
3558,نہ برا,3
2553,نہ معنی,3
3553,نہ دوا,3
2557,ترا سے,3
5024,گر ہے,3
4624,گی کرے,3
2560,نہ سرکش,3
2561,دبا نہ,3
16916,اقبال ہے,3
2562,یہ دبا,3
7692,اب ہیں,3
740,کا موت,3
742,دن ایک,3
746,کیوں نیند,3
747,رات کیوں,3
4411,کو گہر,3
749,نہیں بھر,3
2568,نہ افعی,3
11608,چکا ہو,3
3563,میں جس,3
1686,کو ملک,3
682,کے مر,3
7605,دیکھا نہیں,3
7612,ہا بار,3
656,غم ہے,3
3640,اگر کہ,3
15015,کا نظر,3
1703,میں اس,3
7625,جگر خونِ,3
11115,سکا نہ,3
3611,تو یوں,3
3566,نہ مزا,3
4582,غالب سے,3
3607,وہ آئے,3
2838,و سر,3
702,کہ سکتا,3
7060,واسطے کے,3
7055,ملا کو,3
2549,لفظ وہ,3
710,بھی بو,3
11578,ہر کا,3
754,دل حال,3
6324,ہیں سمجھتے,3
2609,منت گوش,3
1639,جس کہ,3
2604,کرنے نہ,3
814,نہیں خبر,3
3451,اپنے ہے,3
2606,کہ راضی,3
2607,کبھی کہ,3
2608,گوش کبھی,3
823,پر ہے,3
826,منہ کس,3
2603,نہ وعدہ,3
2613,کس ہوا,3
833,مگر کو,3
2616,کی قسمت,3
13249,سلطنت کی,3
7763,جانتا یہ,3
838,کہ ایسی,3
839,ہر کہ,3
2618,کیجے شکایت,3
807,جہاں ہیں,3
2602,وعدہ ترے,3
2575,چھوٹوں سے,3
2589,و مے,3
2576,وہ چھوٹوں,3
2580,مرنے مرے,3
4657,وہ نہیں,3
2581,پہ مرنے,3
2583,نہ راضی,3
7011,میں سمجھ,3
784,نہیں کر,3
2585,گزر دل,3
790,ہیں کرتے,3
2601,ترے ہوں,3
7743,کیا ہے,3
3470,کا زنجیر,3
5856,ہیں جاتی,3
2591,ہی ساغر,3
2593,گر سہی,3
799,آتا نہیں,3
3466,ہے دیدہ,3
2594,نفس گر,3
645,غم ہوتا,3
1394,میں غربت,3
7172,لوگ ہم,3
569,نہ مر,3
608,پار کے,3
12549,گئی آ,3
3743,کہ بات,3
12553,یار دیدار,3
592,دل میرے,3
3770,ہر تک,3
8790,حسرت دلِ,3
2443,ہر میں,3
14490,مجھے یا,3
13901,خاک وہ,3
3830,یہ کی,3
535,میں شہر,3
7554,اے میں,3
14493,تو کر,3
2409,کا چراغاں,3
540,نہ یہ,3
12783,ہاتھ سے,3
14887,نے حق,3
541,تھی نہ,3
561,یہ تو,3
5422,جہاں کا,3
10709,ہیں آتے,3
11792,راز وہ,3
4446,نے عشق,3
5442,قطرہ ہر,3
8326,بے یوں,3
2493,کی غیر,3
525,ہوا ہے,3
633,پھر کہ,3
7213,ہر کے,3
629,ٹپکتا سے,3
623,غم کوئی,3
11176,یارو ہے,2
6582,اے پھر,2
2191,جہاں اک,2
10766,پر گیا,2
4983,فردوس ہے,2
